name,pos,team,team,pos,g,salcap,salt,salb,salsb,salob
Peyton Manning,QB,IND,IND,QB,16.0,2.1205718E7,1.400572E7,1.4E7,0.0,5720.0
Julius Peppers,DE,CAR,CAR,DE,16.0,1.9183E7,1.6683E7,1.6683E7,0.0,0.0
Donovan McNabb,QB,PHI,PHI,QB,14.0,1.677395E7,1.250728E7,9200000.0,0.0,3307280.0
Matt Cassel,QB,KC,KC,QB,15.0,1.52052E7,1.50052E7,5000000.0,0.0,1.00052E7
Tom Brady,QB,NE,NE,QB,16.0,1.462728E7,8007280.0,5000000.0,0.0,3007280.0
Carson Palmer,QB,CIN,CIN,QB,16.0,1.43E7,9500000.0,9500000.0,0.0,0.0
JaMarcus Russell,QB,OAK,OAK,QB,12.0,1.3618215E7,1.125544E7,7805880.0,3442800.0,6760.0
Ben Roethlisberger,QB,PIT,PIT,QB,15.0,1.322156E7,7751560.0,4750000.0,0.0,3001560.0
Eli Manning,QB,NYG,NYG,QB,16.0,1.3066668E7,2.05E7,7500000.0,1.3E7,0.0
Reggie Bush,RB,NO,NO,RB,14.0,1.208994E7,7089940.0,2585000.0,0.0,4504940.0
Brett Favre,QB,MIN,MIN,QB,16.0,1.2E7,1.2E7,1.2E7,0.0,0.0
Jared Allen,DE,MIN,MIN,DE,16.0,1.1663674E7,7755330.0,7750000.0,0.0,5330.0
Philip Rivers,QB,SD,SD,QB,16.0,1.154163E7,2.555663E7,6000000.0,1.955E7,6630.0
Jay Cutler,QB,CHI,CHI,QB,16.0,1.1534999E7,1.504409E7,1.494409E7,0.0,100000.0
Kurt Warner,QB,ARI,ARI,QB,15.0,1.150468E7,1.900468E7,4000000.0,1.5E7,4680.0
Dwight Freeney,DE,IND,IND,DE,14.0,1.122052E7,6220520.0,6220000.0,0.0,520.0
Larry Fitzgerald,WR,ARI,ARI,WR,16.0,1.0897622E7,4754290.0,1600000.0,0.0,3154290.0
Drew Brees,QB,NO,NO,QB,15.0,1.06604E7,1.29895E7,4487500.0,5001000.0,3501000.0
Matt Schaub,QB,HOU,HOU,QB,16.0,1.025E7,1.7E7,6950000.0,0.0,1.005E7
Brian Urlacher,LB,CHI,CHI,LB,1.0,1.0185511E7,6125000.0,5625000.0,0.0,500000.0
Asante Samuel,CB,PHI,PHI,CB,16.0,1.0E7,9000000.0,1900000.0,0.0,7100000.0
Dunta Robinson,CB,HOU,HOU,CB,16.0,9957000.0,9957000.0,9957000.0,0.0,0.0
Matt Ryan,QB,ATL,ATL,QB,14.0,9907280.0,7907280.0,5000000.0,0.0,2907280.0
Antonio Bryant,WR,TB,TB,WR,13.0,9890760.0,9890760.0,9884000.0,0.0,6760.0
Randy Moss,WR,NE,NE,WR,16.0,9757280.0,6507280.0,4900000.0,1500000.0,107280.0
Karlos Dansby,LB,ARI,ARI,LB,16.0,9680340.0,9680340.0,9678000.0,0.0,2340.0
Aaron Rodgers,QB,GB,GB,QB,16.0,9652500.0,8600000.0,680000.0,0.0,7920000.0
Matt Hasselbeck,QB,SEA,SEA,QB,14.0,9456240.0,6256240.0,5250000.0,0.0,1006240.0
