id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9862886,Room in Amsterdam - modern house!,24314617,Jorim,,Bijlmer-Oost,52.32370956209394,4.966005237854949,Private room,49,4,0,,,1,30
6908304,Lockable room with free parking,15770150,Bene,,Bijlmer-Oost,52.3222406493397,4.986591613108508,Private room,35,3,6,2015-10-19,0.96,1,365
7889889,Private Room@MetrostationKraaienest,4214955,Zehra/Kerem,,Bijlmer-Oost,52.31926072573845,4.972527902102099,Private room,29,7,0,,,5,365
2942229,An stylish room in a green area,1271678,,,Bijlmer-Oost,52.324548142399564,4.975968402539098,Private room,49,2,110,2015-12-21,5.46,1,311
9820146,Cozy single room/Kleiburg-Amsterdam,42303956,Panagiota,,Bijlmer-Oost,52.31973914254213,4.978913298146106,Private room,35,1,0,,,1,3
5362748,Great room south of Amsterdam!,27800005,Edzo,,Bijlmer-Oost,52.32263415001058,4.960662732686624,Private room,42,1,7,2015-09-03,1.22,1,92
7880299,Spacious apartment next to metro,41519829,,,Bijlmer-Oost,52.32344011082727,4.972190539578077,Entire home/apt,75,2,4,2015-11-16,1.52,1,115
9925265,Appartement in Amsterdam South East,51019491,Vladimir,,Bijlmer-Oost,52.320836316836186,4.976739857187362,Entire home/apt,40,3,0,,,1,0
9784567,nice Room in Amsterdam,27280608,Petra,,Bijlmer-Oost,52.32336931905056,4.977729820098882,Private room,60,1,1,2016-01-02,1,3,365
9250191,Private room with double bed,23629015,Silvio,,Bijlmer-Oost,52.326046437240386,4.970389813865916,Private room,39,1,0,,,1,365
8280628,The Flat. App 20m2,34467340,Michiel,,Bijlmer-Oost,52.32012921688653,4.977944251822642,Entire home/apt,75,2,4,2015-12-22,1.58,1,36
9898904,Rent room  in apartment,50900910,Octavian,,Bijlmer-Oost,52.313949117423654,4.976252298941748,Shared room,50,5,1,2015-12-18,1,2,365
9817243,Couch in living room,27280608,Petra,,Bijlmer-Oost,52.322131996253056,4.977425952077016,Shared room,30,1,0,,,3,365
6873473,Amsterdam Zimmer für 2,27280608,Petra,,Bijlmer-Oost,52.32236610574357,4.97283838863628,Private room,60,1,11,2015-10-18,1.72,3,365
9115414,staying in green surroundings,47499392,Ingrid,,Bijlmer-Oost,52.32093767789479,4.987733661319591,Private room,30,2,0,,,1,44
8137152,Cozy Single Room,37387620,Gustavo,,Bijlmer-Oost,52.32124519889659,4.967620084067121,Private room,45,1,6,2015-11-27,1.67,1,364
3951418,cute clean room for rent!! ,20393437,Nadia,,Bijlmer-Oost,52.32018743614052,4.974145263281653,Private room,36,1,27,2015-11-23,1.65,1,345
7131573,"Bright room, green park, arty flat!",30039084,Christiaan,,Bijlmer-Oost,52.32466336358793,4.9744728650035555,Private room,62,1,31,2016-01-03,5.14,1,21
9038396,Nice appartment / free parking,7697086,Melanie,,Bijlmer-Oost,52.323287388827,4.966810792092373,Entire home/apt,55,2,3,2015-11-23,1.70,1,47
5998167,Sunny 2 room apartment,31140233,Jan,,Bijlmer-Oost,52.32338893543207,4.974380320636552,Entire home/apt,60,4,18,2015-10-14,2.10,1,343
7046849,Lovely room in South East Amsterdam,36953379,Mark,,Bijlmer-Oost,52.32231416120611,4.9615935128732325,Private room,45,1,7,2015-09-09,1.14,1,92
7722639,Two cozy rooms for max. 4 persons,31270920,,,Bijlmer-Oost,52.3179152282139,4.96662438256415,Private room,77,1,5,2015-12-30,1.34,1,363
10160870,Small room with double bed,51569009,Muhammad,,Bijlmer-Oost,52.320647694532084,4.981335683093866,Private room,75,2,0,,,1,8
9898907,Rent room in apartment,50900910,Octavian,,Bijlmer-Oost,52.31450221071852,4.974129298197985,Shared room,50,3,1,2015-12-11,1,2,365
6851593,Amterdam Arena Boulevard,35901869,Dudley,,Bijlmer-Oost,52.322078817244595,4.97167622521097,Entire home/apt,70,1,4,2015-12-27,1.29,1,365
3905287,B&B# green oasis with free parking,16567328,Thea,,Bijlmer-Oost,52.319784253576934,4.962587247424782,Private room,40,2,53,2015-11-22,3.20,1,76
7706472,Spacious With A Beautiful View,38310525,Dearing,,Bijlmer-Oost,52.3216185549668,4.9782714052738815,Entire home/apt,99,2,17,2015-12-31,3.54,1,325
1236080,Studio Diemerbos,5159981,Gerrit,,Bijlmer-Oost,52.32689147046819,4.980092559201902,Private room,105,1,0,,,1,211
6664829,Your spot of paradise in Amsterdam!,34887518,Tamara,,Bijlmer-Oost,52.32042005536974,4.990763722536479,Private room,49,1,27,2015-12-08,3.93,1,357
10034743,Linda Rubene,51049888,Linda,,Bijlmer-Oost,52.317957948149854,4.971539943194032,Private room,100,1,0,,,2,365
9323438,URBAN RESIDENCE,28711830,,,Bijlmer-Oost,52.313022582039196,4.980059747636351,Entire home/apt,185,3,0,,,11,364
3719167,Big room in A´dam SE,18991270,,,Bijlmer-Oost,52.316710723876675,4.986617637373466,Private room,40,3,10,2015-12-16,0.59,1,88
9462160,Nice and comfy,49033227,,,Bijlmer-Oost,52.32400385763509,4.957927068207733,Entire home/apt,52,1,1,2015-11-23,0.71,1,365
10153023,A cozy apartment close to center,6767897,Vikram,,Bijlmer-Oost,52.321808736278356,4.967707220125173,Private room,35,1,0,,,1,61
7303805,Cozy room in the SE of Amsterdam,23023786,Robert,,Bijlmer-Oost,52.32211295081488,4.9626411051784975,Private room,45,1,7,2015-09-10,1.26,1,149
3539616,kamer in dijkhuis aan  IJsselmeer  ,17818756,Peter,,Noord-Oost,52.37778852843909,4.993286407913424,Private room,80,2,5,2015-06-09,0.29,1,365
653883,countryside house in amsterdam,3289006,,,Noord-Oost,52.383080870846385,4.977900950233365,Entire home/apt,99,2,44,2015-12-28,1.09,2,173
3036359,"Cosy House Boat, well located",14271525,Annelieke,,Noord-Oost,52.37701145680322,4.978152707300466,Entire home/apt,81,2,3,2015-11-25,1.58,1,266
5766152,Boat house just outside Amsterdam,29915748,Femke,,Noord-Oost,52.37590165819068,4.976176668695283,Entire home/apt,220,5,0,,,1,259
2719038,Little House close to Amsterdam,13060291,,,Noord-Oost,52.39735771428765,5.004451413105496,Entire home/apt,79,1,98,2015-12-14,4.67,1,230
3896355,"Private  parking, 10min from Center",13861116,August,,Noord-Oost,52.39990889715478,4.9299913307223795,Entire home/apt,64,3,37,2015-12-21,2.39,4,185
5707655,Lovely Room with Garden,29591818,Frans,,Noord-Oost,52.40438119061017,4.941818135977954,Private room,85,2,20,2015-11-22,2.20,2,350
6943965,Spacious family house,6604622,Charlotte,,Noord-Oost,52.389066074531605,4.954847611182758,Entire home/apt,140,7,3,2015-11-01,0.54,1,20
6303583,Family house in child-friendly area,32508365,Myrna & Raymond,,Noord-Oost,52.40700507925355,4.933508070228482,Entire home/apt,140,2,4,2015-12-28,0.74,1,84
9349516,Private Room in Amsterdam,48522851,Anil,,Noord-Oost,52.394428416998906,4.95916882856985,Private room,30,1,3,2015-12-28,1.88,1,75
5595867,Spacious room with private bathroom,224275,Arnoud,,Noord-Oost,52.39890501813169,4.950883451095282,Private room,55,2,12,2015-10-21,1.25,1,24
7822985,Luxury apartment for 4 persons,29591818,Frans,,Noord-Oost,52.40238962052545,4.942974958767861,Entire home/apt,150,4,0,,,2,270
3462884,Private Modern Room + Sunny Terrace,11969034,Raul,,Noord-Oost,52.40383082087025,4.938426697218918,Private room,49,3,77,2016-01-02,4.23,6,77
839727,"Authentic ship ""Vrouwe Johanna""",4386675,,,Noord-Oost,52.374395868370634,4.979868851110586,Entire home/apt,330,3,4,2015-07-26,0.13,1,361
8081294,Room in our new build farm/villa,42686271,Paul,,Noord-Oost,52.4088998377426,4.966513715793625,Private room,95,2,4,2015-10-20,1.07,1,105
1362388,A310 Spacious authentic Houseboat,3327797,Myra,,Noord-Oost,52.37671792078971,4.979787547417781,Entire home/apt,395,2,0,,,10,0
7769055,Mini-cottage in Amsterdam-Durgerdam,337655,Jaap & Kim,,Noord-Oost,52.37934389044851,4.992835191409888,Entire home/apt,80,3,10,2015-12-21,2.24,1,365
5121714,200m2 met grote tuin en boomhut!,1122647,Jeannette,,Noord-Oost,52.3978052800146,4.924147226999714,Entire home/apt,200,4,3,2015-08-08,0.54,1,0
9389404,Rustig gelegen studio in Durgerdam,48705328,Ans,,Noord-Oost,52.37514509550576,4.984980916653469,Private room,90,2,0,,,1,364
761411,Amsterdam CQS  - Clean Quiet Safe,4013546,Xiong,,Noord-Oost,52.399415060290295,4.95310647349768,Private room,46,2,96,2015-11-27,2.50,2,363
9474404,homey room for 1,48059620,Aura,,Noord-Oost,52.39639711961589,4.953759806297187,Private room,30,2,1,2015-12-09,1,3,361
8751830,Clean room in Amsterdam,8887625,Robin,,Noord-Oost,52.39901619556302,4.929945259732891,Private room,55,1,7,2015-11-23,2.53,1,365
3785760,Spacious Room,19429461,Catalina & Matei,,Noord-Oost,52.39342253803045,4.956141658580853,Private room,70,2,0,,,1,364
3284802,Spacious room close to center,10170774,Igor,,Noord-Oost,52.39839102983671,4.942455895981631,Private room,65,2,57,2016-01-03,3.02,1,352
8583977,Просторная комната в красивом месте,12328045,Eugene,,Noord-Oost,52.398452413939715,4.942132585794243,Private room,57,1,0,,,1,89
9879725,"Spacious apartment, amazing view",6205606,Rianne,,Noord-Oost,52.393130278058095,4.95764110869786,Entire home/apt,90,4,0,,,1,24
9955125,2 bedroom apartment near centre!,47392776,Farhan Octavia,,Noord-Oost,52.40210063544739,4.927544552712884,Entire home/apt,100,1,0,,,1,90
8319109,"Modern, spacious house near centre",43683749,Imka,,Noord-Oost,52.38988386717861,4.95613818864362,Entire home/apt,300,1,0,,,1,89
4697911,family home in Amsterdam,16626677,Kees,,Noord-Oost,52.3991272984682,4.953999697510392,Entire home/apt,100,1,6,2015-12-13,0.49,1,89
1721904,Flexy stay at our Amsterdam house,9048074,Pierre,,Noord-Oost,52.39802115970837,4.958331299144506,Entire home/apt,88,4,1,2015-09-14,0.27,1,364
4169219,Apartment with garden &free parking,21634661,Patricia,,Noord-Oost,52.39173447734964,4.952974450117651,Entire home/apt,80,3,9,2015-07-01,0.59,1,89
2353432,Lovely house +garden +free parking!,12018031,Marjolein & Ernst,,Noord-Oost,52.394770523573634,4.931712598174663,Entire home/apt,175,3,2,2015-07-18,0.11,1,15
4256814,Amsterdam appartement 65m2,22090386,Sam,,Noord-Oost,52.3978151192865,4.937983051433496,Entire home/apt,135,1,2,2015-04-07,0.16,1,363
595898,Romantic houseboat in Amsterdam,2911119,Liesbeth,,Noord-Oost,52.378771617539606,4.9711364446232915,Entire home/apt,90,2,28,2015-11-10,0.71,1,253
7241009,Family House nearby city centre,2802365,Laurens,,Noord-Oost,52.40774817762915,4.933144005773879,Entire home/apt,180,5,1,2016-01-01,1,1,365
5897261,Your double apartment on wheels,3040748,Henk,,Noord-Oost,52.41121372991402,4.947321391956235,Entire home/apt,70,2,19,2015-11-02,2.29,1,214
9555135,Stunning Houseboat in Amsterdam,47252533,Jason,,Noord-Oost,52.37913047020824,4.975602069169514,Entire home/apt,109,1,0,,,2,23
3637400,Nice & cosy roomnear the citycenter,9110671,Ana,,Noord-Oost,52.401569517314805,4.924764035747808,Private room,39,2,33,2015-12-27,5.41,1,247
8979370,Big Private Room in a Superchill Ap,4214955,Zehra/Kerem,,Noord-Oost,52.40399721247511,4.9407895440165515,Private room,44,10,0,,,5,361
1168916,Lovely Country side house Amsterdam,3289006,,,Noord-Oost,52.38361888809258,4.977971999672187,Entire home/apt,120,2,35,2015-12-10,1.20,2,204
3179826,A charming house on a dike!,16124101,Margo,,Noord-Oost,52.38678030419456,4.954008152635683,Entire home/apt,185,3,6,2015-08-05,0.35,1,282
6850043,gerenoveerd woonschip-tjalk (1908),24350341,Harold,,Noord-Oost,52.38177509748901,4.965553700830293,Entire home/apt,99,3,4,2015-10-10,0.63,1,269
7801735,Large private room in nearby center,14076195,Elke,,Noord-Oost,52.397099150925484,4.930526142112503,Private room,50,1,7,2015-11-29,1.50,1,53
9473194,snuggie room,48059620,Aura,,Noord-Oost,52.39532805312189,4.955577151762239,Private room,32,2,0,,,3,365
3346620,Amsterdam CQS - Clean Quiet Safe 2,4013546,Xiong,,Noord-Oost,52.39951527518427,4.951645129825897,Private room,46,2,32,2015-10-25,1.73,2,362
5216536,Loft in parc in front of a pond ,9830464,Lotte,,Noord-Oost,52.39560914576572,4.934592034105179,Entire home/apt,112,2,15,2015-10-19,1.74,1,363
1338633,Green Space and Calm in Amsterdam,7259166,Mirjam,,Noord-Oost,52.39446585299704,4.945133846763909,Private room,55,3,28,2015-11-07,1.00,1,364
9150046,Sunny room : )!,47541965,Charlotte,,Noord-Oost,52.395482357167786,4.958238922768522,Private room,39,1,0,,,1,182
7839527,Family house (170m2) with garden,19794594,Lauran & Sanne,,Noord-Oost,52.389901875402344,4.957005683747336,Entire home/apt,149,1,2,2015-12-16,0.60,1,118
9248684,Comfie room for 2,48059620,Aura,,Noord-Oost,52.39502739986984,4.953331532794909,Private room,39,2,3,2015-12-01,1.84,3,365
6858428,Romantic Houseboat,6199288,Yvonne,,Noord-Oost,52.38174634447294,4.967196918557768,Entire home/apt,80,2,10,2015-12-19,1.74,1,256
1158353,Cheap Room in nice house & 2 bikes,6347458,Cathy,,Noord-Oost,52.400578944568196,4.950807533211527,Entire home/apt,45,1,30,2015-12-13,1.01,1,17
5124214,Best of both; city & countryside!,9261270,Jossien,,Noord-Oost,52.394149408480025,4.935288809645206,Entire home/apt,100,4,0,,,1,82
10073725,Private room in Amsterdam Noord,51235384,Anil,,Noord-Oost,52.392706234025844,4.960702694781313,Private room,40,2,4,2016-01-02,4,1,90
2864823,Room own entrance with sunny garden,14642357,Carolina,,Noord-Oost,52.3960862800791,4.950179985088723,Private room,45,2,48,2015-12-01,2.34,1,32
6611814,Your own birdsnest on wheels,3040748,Henk,,Noord-Oost,52.41324444611566,4.946152859586055,Entire home/apt,68,2,13,2015-10-06,1.87,1,276
10172405,Charming wooden house with lakeview,27094477,Patty,,Noord-Oost,52.3783051318318,4.9921174782451345,Entire home/apt,150,5,0,,,1,151
