listing_id,date
8732784,2015-10-19
788351,2015-05-17
788351,2015-05-24
788351,2015-08-03
788351,2015-08-09
788351,2015-09-10
788351,2015-09-16
788351,2015-09-29
788351,2015-10-07
788351,2015-10-11
788351,2015-10-27
788351,2015-11-01
788351,2015-11-09
788351,2015-11-27
5115463,2015-03-08
5115463,2015-03-23
5115463,2015-04-04
5115463,2015-04-07
5115463,2015-04-14
5115463,2015-04-16
5115463,2015-04-26
5115463,2015-05-27
5115463,2015-06-14
2032353,2014-01-03
2032353,2014-09-15
2032353,2014-10-13
2032353,2014-11-01
2032353,2014-11-24
2032353,2014-12-30
2032353,2015-01-02
2032353,2015-02-10
2032353,2015-02-26
2032353,2015-03-02
2032353,2015-03-16
2032353,2015-04-06
2032353,2015-04-16
2032353,2015-04-22
2032353,2015-05-20
2032353,2015-06-15
2032353,2015-06-30
2032353,2015-08-09
2032353,2015-09-23
2032353,2015-10-19
2032353,2015-10-27
2032353,2015-11-16
5433532,2015-04-04
5433532,2015-04-11
5433532,2015-04-22
5433532,2015-05-03
5433532,2015-09-15
5433532,2015-09-30
254104,2015-05-15
254104,2015-08-22
7113831,2015-07-26
7113831,2015-07-30
7113831,2015-08-02
7113831,2015-08-05
7113831,2015-08-08
7113831,2015-08-12
7113831,2015-10-19
5599798,2015-05-05
5599798,2015-07-17
5599798,2015-07-26
3109603,2014-07-17
3109603,2014-07-22
3109603,2014-07-24
3109603,2014-07-27
1227125,2015-02-27
1227125,2015-03-25
1227125,2015-04-06
1227125,2015-04-19
1227125,2015-04-21
1227125,2015-04-23
1227125,2015-05-11
1227125,2015-05-19
1227125,2015-05-30
1227125,2015-06-19
1227125,2015-08-30
7427429,2015-09-01
7427429,2015-09-15
7427429,2015-09-16
7427429,2015-10-07
6554430,2015-12-13
8334881,2015-09-16
5200843,2015-02-22
5200843,2015-03-01
5200843,2015-08-25
5200843,2015-08-29
5200843,2015-10-21
5200843,2015-10-25
2549436,2014-04-11
2549436,2014-04-15
2549436,2014-04-22
2549436,2014-05-05
2549436,2014-05-13
2549436,2014-06-03
2549436,2014-06-10
2549436,2014-06-15
2549436,2014-06-20
2549436,2014-06-23
2549436,2014-07-15
2549436,2014-08-12
2549436,2014-08-26
2549436,2014-09-22
2549436,2014-10-01
2549436,2014-10-20
2549436,2014-10-29
2549436,2014-11-10
2549436,2014-11-21
2549436,2014-12-08
2549436,2015-01-02
2549436,2015-01-10
2549436,2015-01-17
2549436,2015-03-23
2549436,2015-03-31
2549436,2015-04-06
2549436,2015-04-12
2549436,2015-04-22
2549436,2015-04-28
2549436,2015-05-10
2549436,2015-05-21
2549436,2015-05-31
2549436,2015-06-26
2549436,2015-07-01
2549436,2015-07-14
2549436,2015-07-15
2549436,2015-07-27
2549436,2015-08-16
2549436,2015-08-26
2549436,2015-09-15
2549436,2015-09-21
2549436,2015-10-04
2549436,2015-10-17
2549436,2015-10-26
2549436,2015-11-01
2549436,2015-11-15
2549436,2015-11-22
2549436,2015-12-08
8057407,2015-10-01
2976795,2014-05-19
2976795,2014-05-27
2976795,2014-06-07
2976795,2014-07-01
2976795,2015-03-14
2976795,2015-09-04
2976795,2015-10-31
2976795,2015-11-16
2976795,2015-12-07
6071339,2015-05-16
6071339,2015-06-03
6071339,2015-07-13
6071339,2015-07-20
6071339,2015-07-27
6071339,2015-08-01
6071339,2015-08-16
6071339,2015-09-27
6071339,2015-10-18
6071339,2015-11-03
805130,2013-03-20
805130,2013-04-19
805130,2013-04-28
805130,2013-05-02
805130,2013-06-17
805130,2013-07-30
805130,2013-08-10
805130,2013-09-18
805130,2013-09-27
805130,2013-10-05
805130,2013-10-08
805130,2013-10-14
805130,2014-01-04
805130,2014-03-26
805130,2014-04-14
805130,2014-06-06
805130,2014-06-11
805130,2014-08-26
805130,2014-08-31
805130,2014-09-06
805130,2014-11-01
805130,2014-11-10
805130,2014-11-28
805130,2015-05-11
805130,2015-05-20
805130,2015-05-27
805130,2015-07-26
805130,2015-07-31
805130,2015-08-07
805130,2015-08-13
805130,2015-12-07
6554924,2015-07-13
6554924,2015-07-20
6554924,2015-07-22
6554924,2015-09-14
3145548,2014-06-01
3145548,2014-06-25
3145548,2014-09-17
3145548,2014-10-19
3145548,2015-04-06
3560561,2014-07-22
3560561,2014-08-11
3560561,2014-08-25
3560561,2014-10-05
3560561,2014-10-10
3560561,2015-08-02
3560561,2015-08-23
3560561,2015-09-12
3560561,2015-09-14
3560561,2015-09-21
3560561,2015-09-27
3560561,2015-10-11
6533504,2015-06-02
6533504,2015-06-08
6533504,2015-06-15
6533504,2015-06-22
6533504,2015-06-29
6533504,2015-07-05
6533504,2015-07-14
6533504,2015-08-16
6533504,2015-08-24
6533504,2015-09-28
6533504,2015-10-19
6533504,2015-11-02
6533504,2015-11-16
4116310,2015-05-25
4530308,2015-05-10
4530308,2015-05-17
4530308,2015-07-26
4530308,2015-08-04
4530308,2015-10-22
1125625,2014-09-16
1125625,2014-10-12
1125625,2014-10-20
1125625,2015-02-17
1125625,2015-02-26
1125625,2015-03-11
1125625,2015-03-16
1125625,2015-03-27
1125625,2015-03-31
1125625,2015-04-09
1125625,2015-04-14
1125625,2015-04-29
1125625,2015-05-04
1125625,2015-05-12
1125625,2015-05-27
1125625,2015-06-17
1125625,2015-07-15
7724398,2015-08-27
4172357,2015-01-03
4172357,2015-05-16
533211,2012-09-10
533211,2012-09-12
533211,2015-02-03
533211,2015-09-16
6264541,2015-05-16
6264541,2015-08-15
6264541,2015-08-25
6264541,2015-09-22
6114456,2015-05-03
5741919,2015-06-07
5741919,2015-06-07
5741919,2015-10-20
2302763,2014-11-30
2302763,2015-01-04
2302763,2015-08-16
2302763,2015-08-21
2302763,2015-09-02
2302763,2015-09-08
2302763,2015-09-15
2302763,2015-09-27
2302763,2015-10-11
2302763,2015-10-18
2302763,2015-10-22
2302763,2015-10-28
2302763,2015-12-01
2302763,2015-12-15
6240353,2015-05-24
5536831,2015-05-04
5536831,2015-06-07
5536831,2015-07-08
5536831,2015-07-13
5536831,2015-08-24
5536831,2015-09-12
5536831,2015-10-19
5536831,2015-11-23
6008605,2015-05-02
6008605,2015-05-04
6008605,2015-05-27
6008605,2015-06-01
6008605,2015-06-05
6008605,2015-06-24
6008605,2015-07-22
6008605,2015-07-25
6008605,2015-08-01
6008605,2015-08-04
6008605,2015-08-16
6008605,2015-08-23
6008605,2015-09-15
6008605,2015-09-21
6008605,2015-10-10
6008605,2015-10-18
6008605,2015-10-24
6008605,2015-10-29
6008605,2015-11-08
6008605,2015-11-16
6008605,2015-11-20
3661468,2015-05-10
3661468,2015-05-17
3661468,2015-05-24
3661468,2015-06-07
3661468,2015-06-14
3661468,2015-06-26
3661468,2015-08-02
3661468,2015-08-09
3661468,2015-09-13
3661468,2015-09-28
3661468,2015-10-04
5292162,2015-04-06
5292162,2015-09-16
475755,2012-05-27
475755,2012-09-11
475755,2012-10-24
475755,2012-10-28
475755,2013-01-03
475755,2013-03-22
475755,2013-03-25
475755,2013-04-01
475755,2013-04-15
475755,2013-04-22
475755,2013-05-01
475755,2013-05-07
475755,2013-05-22
475755,2013-05-29
475755,2013-06-03
475755,2013-06-10
475755,2013-07-01
475755,2013-07-10
475755,2013-07-15
475755,2013-07-29
475755,2013-08-12
475755,2013-08-19
475755,2013-09-16
475755,2013-09-23
475755,2013-09-29
475755,2013-10-04
475755,2013-11-04
475755,2013-11-26
475755,2013-12-02
475755,2013-12-16
475755,2013-12-31
475755,2014-01-02
475755,2014-03-26
475755,2014-04-14
475755,2014-04-22
475755,2014-04-30
475755,2014-05-11
475755,2014-05-19
475755,2014-06-16
475755,2014-07-01
475755,2014-07-16
475755,2014-07-20
475755,2014-08-04
475755,2014-08-30
475755,2014-09-08
475755,2014-11-02
475755,2014-11-11
475755,2014-11-16
475755,2014-11-23
475755,2014-11-30
475755,2014-12-08
475755,2014-12-21
475755,2015-01-03
475755,2015-01-18
475755,2015-02-02
475755,2015-02-08
475755,2015-02-24
475755,2015-03-02
475755,2015-03-08
475755,2015-03-22
475755,2015-03-28
475755,2015-04-06
475755,2015-04-28
475755,2015-05-11
475755,2015-05-13
475755,2015-05-17
475755,2015-05-24
475755,2015-06-15
475755,2015-06-26
475755,2015-06-29
475755,2015-06-29
475755,2015-06-30
475755,2015-07-13
475755,2015-07-20
475755,2015-08-02
475755,2015-08-10
475755,2015-08-30
475755,2015-09-15
475755,2015-09-21
475755,2015-10-19
475755,2015-10-26
475755,2015-11-03
475755,2015-11-09
475755,2015-11-15
475755,2015-11-23
475755,2015-11-29
475755,2015-12-14
475755,2015-12-29
1261425,2013-06-26
1261425,2013-07-04
3229172,2014-08-16
3229172,2014-08-20
3229172,2014-08-24
3229172,2014-08-28
3229172,2014-09-01
3229172,2014-09-09
3229172,2014-09-16
3229172,2014-09-26
3229172,2014-10-01
3229172,2014-10-06
3229172,2014-10-10
3229172,2014-10-13
3229172,2014-10-17
3229172,2014-10-20
3229172,2014-10-24
3229172,2014-10-30
3229172,2014-11-08
3229172,2014-11-11
3229172,2014-11-22
3229172,2014-11-26
3229172,2014-12-02
3229172,2014-12-09
3229172,2014-12-14
3229172,2014-12-23
3229172,2014-12-30
3229172,2015-01-10
3229172,2015-01-13
3229172,2015-01-19
3229172,2015-01-26
3229172,2015-02-03
3229172,2015-02-07
3229172,2015-02-10
3229172,2015-02-15
3229172,2015-02-21
3229172,2015-02-27
3229172,2015-03-07
3229172,2015-03-09
3229172,2015-03-15
3229172,2015-03-24
3229172,2015-04-02
3229172,2015-04-07
3229172,2015-04-12
3229172,2015-04-16
3229172,2015-04-27
3229172,2015-04-30
3229172,2015-05-04
3229172,2015-05-08
3229172,2015-05-15
3229172,2015-05-19
3229172,2015-05-26
3229172,2015-06-04
3229172,2015-06-07
3229172,2015-06-11
3229172,2015-06-16
3229172,2015-06-22
3229172,2015-06-25
3229172,2015-06-29
3229172,2015-07-03
3229172,2015-07-07
3229172,2015-07-13
3229172,2015-07-18
3229172,2015-07-23
3229172,2015-07-29
3229172,2015-08-13
3229172,2015-08-29
3229172,2015-09-03
3229172,2015-09-08
3229172,2015-09-12
3229172,2015-09-17
3229172,2015-09-21
3229172,2015-09-25
3229172,2015-10-03
3229172,2015-10-12
3229172,2015-10-17
3229172,2015-10-24
3229172,2015-10-28
3229172,2015-11-02
3229172,2015-11-06
3229172,2015-11-10
3229172,2015-11-15
3229172,2015-11-23
3229172,2015-11-27
3229172,2015-12-01
3229172,2015-12-07
3229172,2015-12-13
3229172,2015-12-19
3229172,2015-12-27
3229172,2015-12-30
6420945,2015-05-25
6420945,2015-06-14
6420945,2015-07-05
6420945,2015-07-10
6420945,2015-07-13
6420945,2015-10-04
6420945,2015-12-07
3526580,2014-08-05
3526580,2014-08-28
3526580,2014-10-03
3526580,2014-12-17
3526580,2015-03-15
3526580,2015-03-26
3526580,2015-04-04
3526580,2015-04-27
3526580,2015-05-13
3526580,2015-06-04
3526580,2015-06-28
3526580,2015-07-06
3526580,2015-08-03
9693,2010-04-05
9693,2010-04-28
9693,2010-05-02
9693,2010-06-13
9693,2010-06-29
9693,2010-08-18
9693,2010-09-06
9693,2010-09-10
9693,2010-11-06
9693,2010-12-17
9693,2011-01-06
9693,2011-02-20
9693,2011-04-06
9693,2011-05-03
9693,2011-05-30
9693,2011-06-26
9693,2011-07-16
9693,2011-08-11
9693,2011-10-23
9693,2011-11-16
9693,2011-12-28
9693,2012-04-12
9693,2012-04-30
9693,2012-05-04
9693,2012-08-23
9693,2012-09-14
9693,2012-10-18
9693,2012-12-27
9693,2014-04-13
9693,2014-05-06
9693,2014-05-27
9693,2014-12-02
9693,2015-02-15
9693,2015-02-26
9693,2015-04-27
9693,2015-07-12
9693,2015-08-09
9693,2015-08-26
9693,2015-09-28
9693,2015-12-28
6243835,2015-08-03
6243835,2015-08-07
6243835,2015-08-26
6243835,2015-09-11
1136047,2013-05-12
1136047,2013-07-01
1136047,2013-07-08
1136047,2013-08-12
1136047,2013-09-05
1136047,2013-09-30
1136047,2013-10-09
1136047,2013-11-01
1136047,2013-11-24
1136047,2013-12-30
1136047,2014-04-22
1136047,2014-05-22
1136047,2014-08-25
1136047,2014-09-18
1136047,2014-10-06
1136047,2015-04-16
1136047,2015-04-19
1136047,2015-06-27
384909,2012-04-12
384909,2012-04-23
384909,2012-05-02
384909,2012-05-10
384909,2012-05-29
384909,2012-06-04
384909,2012-06-24
384909,2012-07-23
384909,2012-07-26
384909,2012-07-31
384909,2012-08-06
384909,2012-08-21
384909,2012-08-28
384909,2012-09-04
384909,2012-09-13
384909,2012-09-20
384909,2012-10-19
384909,2012-10-23
384909,2012-11-04
384909,2013-03-19
384909,2013-04-03
384909,2013-04-22
384909,2013-05-01
384909,2013-07-01
384909,2013-07-09
384909,2013-08-04
384909,2013-08-07
384909,2013-08-19
384909,2013-09-09
384909,2013-09-16
384909,2013-10-01
384909,2013-10-06
384909,2014-01-03
384909,2014-04-14
384909,2014-05-12
384909,2014-05-21
384909,2014-07-16
384909,2014-07-22
384909,2014-07-28
384909,2014-08-09
384909,2014-08-11
384909,2014-08-20
384909,2014-10-13
384909,2014-11-03
384909,2015-01-03
384909,2015-02-09
384909,2015-02-13
384909,2015-02-19
384909,2015-02-21
384909,2015-02-23
384909,2015-03-02
384909,2015-03-10
384909,2015-03-12
384909,2015-11-12
384909,2015-11-16
384909,2015-12-07
2272303,2014-11-18
2272303,2014-11-24
2272303,2014-11-30
2272303,2014-12-29
2272303,2015-01-03
2272303,2015-03-27
2272303,2015-03-31
2272303,2015-04-06
2272303,2015-04-23
2272303,2015-04-28
2272303,2015-05-11
2272303,2015-05-31
2272303,2015-06-28
2272303,2015-07-05
2272303,2015-07-13
2272303,2015-07-29
2272303,2015-08-03
2272303,2015-08-12
2272303,2015-09-14
2272303,2015-09-26
2272303,2015-09-30
2272303,2015-10-18
3113878,2014-07-28
3113878,2014-08-11
3113878,2014-08-18
3113878,2014-08-25
3113878,2014-08-30
3113878,2014-10-23
3113878,2015-03-20
3113878,2015-04-03
3113878,2015-04-17
3113878,2015-04-24
3113878,2015-05-14
3113878,2015-05-21
3113878,2015-05-29
3113878,2015-07-19
3113878,2015-07-26
3113878,2015-08-02
3113878,2015-09-10
3113878,2015-09-17
3113878,2015-10-02
3113878,2015-10-16
3113878,2015-10-24
3113878,2015-10-30
3113878,2015-11-19
3113878,2016-01-02
1109798,2013-05-07
1109798,2013-05-12
1109798,2013-06-07
1109798,2013-06-16
1109798,2013-07-12
1109798,2013-07-20
1109798,2013-07-30
1109798,2013-08-02
1109798,2013-08-26
1109798,2013-09-01
1109798,2013-09-05
1109798,2013-09-09
1109798,2013-09-23
1109798,2013-09-30
1109798,2013-10-23
1109798,2013-10-26
1109798,2013-10-29
1109798,2013-11-04
1109798,2013-11-29
1109798,2013-12-02
1109798,2013-12-26
1109798,2013-12-31
1109798,2014-01-04
1109798,2014-01-28
1109798,2014-02-02
1109798,2014-02-09
1109798,2014-02-17
1109798,2014-02-23
1109798,2014-03-06
1109798,2014-03-09
1109798,2014-03-11
1109798,2014-03-17
1109798,2014-03-24
1109798,2014-03-31
1109798,2014-04-13
1109798,2014-04-23
1109798,2014-04-26
1109798,2014-05-21
1109798,2014-05-22
1109798,2014-05-29
1109798,2014-06-02
1109798,2014-06-18
1109798,2014-06-27
1109798,2014-06-29
1109798,2014-07-07
1109798,2014-07-12
1109798,2014-07-16
1109798,2014-07-19
1109798,2014-07-21
1109798,2014-08-01
1109798,2014-08-09
1109798,2014-08-14
1109798,2014-08-19
1109798,2014-08-25
1109798,2014-09-09
1109798,2014-09-14
1109798,2014-09-16
1109798,2014-09-20
1109798,2014-09-27
1109798,2014-10-01
1109798,2014-10-08
1109798,2014-10-16
1109798,2014-10-21
1109798,2014-10-25
1109798,2014-10-27
1109798,2014-11-03
1109798,2014-11-09
1109798,2014-11-11
1109798,2014-11-14
1109798,2014-11-17
1109798,2014-11-20
1109798,2014-11-22
1109798,2014-11-25
1109798,2014-11-30
1109798,2014-12-03
1109798,2014-12-31
1109798,2015-01-05
1109798,2015-01-07
1109798,2015-01-10
1109798,2015-01-12
1109798,2015-01-19
1109798,2015-02-03
1109798,2015-02-06
1109798,2015-02-10
1109798,2015-02-15
1109798,2015-02-20
1109798,2015-02-23
1109798,2015-03-01
1109798,2015-03-04
1109798,2015-03-16
1109798,2015-03-21
1109798,2015-03-24
1109798,2015-03-30
1109798,2015-04-03
1109798,2015-04-05
1109798,2015-04-11
1109798,2015-04-13
1109798,2015-04-16
1109798,2015-04-18
1109798,2015-04-21
1109798,2015-04-23
1109798,2015-04-26
1109798,2015-04-29
1109798,2015-05-04
1109798,2015-05-11
1109798,2015-05-18
1109798,2015-05-23
1109798,2015-06-02
1109798,2015-06-13
1109798,2015-06-15
1109798,2015-06-22
1109798,2015-06-24
1109798,2015-06-27
1109798,2015-06-29
1109798,2015-07-05
1109798,2015-07-07
1109798,2015-07-13
1109798,2015-07-21
1109798,2015-07-28
1109798,2015-07-30
1109798,2015-08-02
1109798,2015-08-04
1109798,2015-08-07
1109798,2015-08-15
1109798,2015-08-17
1109798,2015-08-19
1109798,2015-08-21
1109798,2015-08-27
1109798,2015-09-04
1109798,2015-09-12
1109798,2015-09-16
1109798,2015-10-02
1109798,2015-10-11
1109798,2015-10-20
1109798,2015-11-03
212050,2011-10-21
212050,2012-04-09
212050,2013-05-13
212050,2015-07-24
212050,2015-08-02
212050,2015-10-24
4381773,2015-03-16
4381773,2015-03-24
4381773,2015-03-29
4381773,2015-03-30
4381773,2015-04-06
4381773,2015-04-13
4381773,2015-04-20
4381773,2015-04-27
4381773,2015-06-07
4381773,2015-06-08
4381773,2015-06-14
1178074,2013-09-17
1178074,2014-01-03
1178074,2014-05-05
1178074,2014-05-12
1178074,2014-06-02
1178074,2014-06-27
1178074,2014-07-01
1178074,2014-07-25
1178074,2014-09-16
1178074,2014-10-07
1178074,2014-10-12
1178074,2014-10-19
1178074,2014-11-03
1178074,2014-11-11
1178074,2014-11-16
1178074,2014-11-19
1178074,2014-12-02
1178074,2014-12-31
1178074,2015-04-07
1178074,2015-07-14
759696,2013-02-06
2300660,2015-08-03
1648570,2014-09-16
1648570,2014-10-13
1648570,2014-10-19
1648570,2014-10-23
1648570,2015-02-09
1648570,2015-02-13
1648570,2015-02-16
1648570,2015-02-21
1648570,2015-04-02
1648570,2015-07-07
1648570,2015-07-26
1648570,2015-09-28
1648570,2015-12-27
1525562,2013-09-08
1525562,2014-08-28
1525562,2014-10-20
1525562,2015-10-01
6895957,2015-06-28
6895957,2015-07-05
6895957,2015-07-09
6895957,2015-07-25
6895957,2015-08-21
6895957,2015-08-23
6895957,2015-09-11
6895957,2015-10-04
8648306,2015-10-26
9252278,2015-11-15
9252278,2015-11-23
9252278,2015-11-29
1810045,2013-10-29
1810045,2013-11-04
1810045,2013-12-24
1810045,2014-01-26
1810045,2014-01-27
1810045,2014-01-27
1810045,2014-03-17
1810045,2014-05-03
1810045,2014-06-23
1810045,2014-06-30
1810045,2014-07-09
1810045,2014-07-15
1810045,2014-07-22
1810045,2014-07-24
1810045,2014-07-29
1810045,2014-07-31
1810045,2014-08-04
1810045,2014-08-11
1810045,2014-09-26
1810045,2014-10-23
1810045,2014-11-04
1810045,2015-01-26
1810045,2015-03-03
1810045,2015-03-09
1810045,2015-03-16
1810045,2015-05-19
1810045,2015-06-09
1810045,2015-06-11
1810045,2015-06-21
1810045,2015-06-29
1810045,2015-07-17
1810045,2015-07-25
1810045,2015-07-31
1810045,2015-08-03
1810045,2015-09-23
1810045,2015-11-21
7214294,2015-07-12
7214294,2015-07-19
7214294,2015-07-24
7214294,2015-08-01
7214294,2015-08-05
7214294,2015-08-08
7214294,2015-08-15
7214294,2015-08-20
7214294,2015-08-24
7214294,2015-08-27
7214294,2015-09-01
7214294,2015-09-05
7214294,2015-09-08
7214294,2015-09-19
7214294,2015-09-24
7214294,2015-09-28
7214294,2015-10-03
7214294,2015-10-06
7214294,2015-10-09
7214294,2015-10-19
7214294,2015-10-22
7214294,2015-10-26
7214294,2015-11-01
7214294,2015-11-04
7214294,2015-11-07
7214294,2015-11-11
7214294,2015-11-14
7214294,2015-11-17
7214294,2015-11-22
7214294,2015-12-02
7214294,2015-12-08
7214294,2015-12-13
671401,2013-01-20
671401,2015-06-02
6558004,2015-06-06
6558004,2015-07-14
6558004,2015-08-07
6558004,2015-08-12
6558004,2015-08-16
2712937,2014-04-22
2712937,2014-05-19
2712937,2014-05-26
2712937,2014-06-02
2712937,2014-06-17
2712937,2014-06-30
2712937,2014-07-08
2712937,2014-07-14
2712937,2014-07-18
2712937,2014-07-22
2712937,2014-08-26
2712937,2014-09-08
2712937,2014-09-16
2712937,2014-09-22
2712937,2014-11-03
2712937,2014-11-18
2712937,2014-12-01
2712937,2015-01-02
2712937,2015-01-19
2712937,2015-01-25
2712937,2015-02-09
2712937,2015-02-11
2712937,2015-02-13
2712937,2015-03-09
2712937,2015-03-13
2712937,2015-03-23
2712937,2015-03-26
2712937,2015-04-07
2712937,2015-04-11
2712937,2015-04-13
2712937,2015-04-21
2712937,2015-04-24
2712937,2015-04-28
2712937,2015-05-02
2712937,2015-05-04
2712937,2015-05-07
2712937,2015-05-20
2712937,2015-06-01
2712937,2015-06-03
2712937,2015-06-05
2712937,2015-06-16
2712937,2015-06-20
2712937,2015-07-31
2712937,2015-08-10
2712937,2015-08-14
2712937,2015-08-24
2712937,2015-08-26
2712937,2015-08-29
2712937,2015-09-08
2712937,2015-09-21
2712937,2015-09-22
2712937,2015-09-24
2712937,2015-09-26
2712937,2015-09-29
2712937,2015-10-05
2712937,2015-10-07
2712937,2015-10-10
2712937,2015-10-22
2712937,2015-11-02
2712937,2015-11-07
2712937,2015-11-21
7930645,2015-09-14
7930645,2015-09-22
7930645,2015-10-01
7930645,2015-10-07
7930645,2015-10-11
7930645,2015-10-19
7930645,2015-11-17
7930645,2015-11-21
7930645,2015-12-31
4780575,2015-01-04
4780575,2015-04-14
4780575,2015-04-26
4780575,2015-05-19
4780575,2015-06-29
4780575,2015-08-01
4780575,2015-09-10
4780575,2015-10-02
4780575,2015-11-02
4780575,2015-11-15
4780575,2015-11-23
4780575,2015-12-01
6682335,2015-11-17
7586076,2015-08-09
7586076,2015-09-16
7586076,2015-09-28
7586076,2015-10-05
5104024,2015-05-03
5104024,2015-05-12
5104024,2015-06-22
5104024,2015-07-07
5104024,2015-08-16
5104024,2015-09-04
9166397,2015-12-01
5207981,2015-02-22
5207981,2015-03-08
5207981,2015-03-22
5207981,2015-03-28
5207981,2015-03-31
5207981,2015-04-06
5207981,2015-04-19
5207981,2015-05-10
5207981,2015-05-25
5207981,2015-06-21
5207981,2015-06-28
5207981,2015-07-09
5207981,2015-07-19
5207981,2015-08-16
5207981,2015-08-23
5207981,2015-09-06
5207981,2015-09-13
5207981,2015-09-21
5207981,2015-10-04
5207981,2015-11-01
5207981,2015-11-22
5770627,2015-04-20
5770627,2015-05-03
5770627,2015-05-06
5770627,2015-05-10
5770627,2015-05-17
5770627,2015-05-23
5770627,2015-05-26
5770627,2015-05-29
5770627,2015-05-31
5770627,2015-06-03
5770627,2015-06-08
5770627,2015-06-14
5770627,2015-06-21
5770627,2015-06-25
5770627,2015-06-29
5770627,2015-07-10
5770627,2015-07-14
5770627,2015-07-20
5770627,2015-07-31
5770627,2015-08-04
5770627,2015-08-08
5770627,2015-08-14
5770627,2015-08-25
5770627,2015-08-30
5770627,2015-09-06
5770627,2015-09-11
5770627,2015-09-17
5770627,2015-09-21
5770627,2015-10-19
5770627,2015-10-22
