id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
7777436,Cosy 1 bedroom self contained flat,15097372,Gerry,,Dublin City,53.331016020476326,-6.272560574170104,Entire home/apt,76,1,5,2015-11-09,1.22,7,249
10136602,Bayview  - a Georgian Cottage,52011420,Noel,,Dublin City,53.35817317891008,-6.244770841509193,Entire home/apt,84,2,2,2016-01-01,2,1,39
7299362,En-Suite Bedroom in a Spacious Apt,38233657,Laura,,Dublin City,53.35602594651087,-6.242065328961561,Entire home/apt,85,2,0,,,2,152
7256198,"Cosy Double bed Urban Flat,Ranelagh",37988838,Róisín,,Dublin City,53.3248159883213,-6.248809910899554,Entire home/apt,79,3,4,2015-08-25,0.76,1,155
3321806,Bright Apartment in Georgian Dublin,3265200,Javier,,Dublin City,53.333290480877196,-6.237294827814292,Entire home/apt,80,3,34,2015-12-23,1.82,1,37
9750379,"Stunning 2 Bed, 2 Bath ,City Cente",12584522,Shay,,Dublin City,53.34993877261774,-6.243004430316125,Entire home/apt,140,1,0,,,2,35
8161512,Luxurious modern apartment,28044542,Mark,,Dublin City,53.34900263295119,-6.240189684565687,Entire home/apt,100,2,11,2016-01-03,2.84,1,159
5432534,# 2  Bijou double studio,23191772,Bernard,,Dublin City,53.323504670165455,-6.264535424930492,Entire home/apt,64,1,63,2016-01-02,6.22,14,347
5592476,The Green Safe - Heart of Dublin,28765724,Adam,,Dublin City,53.336276933136894,-6.262409166439458,Entire home/apt,200,1,52,2015-12-24,5.29,1,108
5898636,Charming Private House Ranelagh D6,6588328,Gina,,Dublin City,53.32921013482836,-6.259540484610675,Entire home/apt,125,2,39,2015-12-21,4.57,1,78
9029722,Sunny flat close to OConnell Street,1509649,Natalia,,Dublin City,53.35511843699022,-6.260752778086764,Entire home/apt,96,1,6,2015-12-24,2.81,2,280
6174064,DublinCity/Apartment/Airport Link,32030633,Penny,,Dublin City,53.342389263605874,-6.220082266103286,Entire home/apt,75,1,55,2016-01-02,8.55,1,17
7917447,Newly Decorated 2 Bedroom Duplex,32670792,Jennifer,,Dublin City,53.336998176636854,-6.378859147329644,Entire home/apt,80,2,11,2015-12-13,2.80,1,271
4953876,Elegant Room & Bathroom Ballsbridge,25531419,Anne,,Dublin City,53.33246892920817,-6.239981923540594,Private room,50,1,14,2015-12-21,6.36,2,346
6382181,Spectacular Views in docklands apt,30889371,Ruth,,Dublin City,53.34491889453272,-6.239039817201638,Entire home/apt,150,2,33,2016-01-02,5.18,1,298
3608542,"Centre of Ranelagh, suit 2-3 people",18183953,Arthur,,Dublin City,53.32453091527565,-6.254710756714482,Entire home/apt,100,1,15,2016-01-01,0.89,1,365
8714676,Central Dublin Apartment,29469526,Adi,,Dublin City,53.33096421293383,-6.245273670402818,Entire home/apt,95,3,5,2016-01-03,1.88,1,291
6003269,"Stylish, North inner city apartment",9885884,Andrea,,Dublin City,53.35587382108005,-6.270168696386059,Entire home/apt,96,3,23,2016-01-03,2.68,2,229
6520398,Rathmines D6,34099393,Jaime,,Dublin City,53.32448418009884,-6.268598909126436,Private room,50,1,19,2015-10-28,2.98,1,316
5598955,Charming little cottage,3246107,Laurent,,Dublin City,53.35475353734856,-6.2444085808734044,Entire home/apt,90,1,54,2015-12-29,5.70,1,303
9299233,Big bright and close to city lights,40594480,Michele,,Dublin City,53.33621829406332,-6.294144664944875,Private room,50,1,2,2015-12-15,2,2,316
4229865,Twin room Close to City and Coast,8760476,Clare,,Dublin City,53.367524799739975,-6.188645258870735,Private room,42,1,11,2015-10-04,1.11,3,365
9995536,Lovely Single Bed in a Privet Room.,50840618,Cristiane,,Dublin City,53.34984653368247,-6.295709374107231,Private room,33,1,0,,,1,349
4661031,Double Bedroom in Dublin City,23117888,Tony,,Dublin City,53.33735796422516,-6.292975251086594,Private room,50,2,39,2015-12-22,3.03,1,310
2860722,26 Gordon Street,14624512,Barry,,Dublin City,53.3390798866276,-6.234473966752032,Entire home/apt,140,4,64,2015-11-27,3.16,1,356
7541239,"Spacious apt, canal view, city cntr",39511301,Wendy,,Dublin City,53.357681797098216,-6.24609537475159,Entire home/apt,110,3,28,2016-01-03,5.32,1,300
2832333,Number 1 in Dublin city centre.,13430588,Deborah,,Dublin City,53.332195554853136,-6.272952266930051,Entire home/apt,320,3,49,2016-01-02,2.47,1,251
6797599,"Single room available, shared house",8025192,Philip,,Dublin City,53.34781422136119,-6.293961173524427,Private room,30,5,0,,,1,183
5553068,French Style Double Bedroom,14400164,Klara,,Dublin City,53.3339412596408,-6.28173958297205,Private room,48,2,26,2016-01-03,3.26,2,29
9315474,Bedroom in family house,46011199,Becky,,Dublin City,53.365298345912045,-6.240294287901878,Private room,50,1,5,2015-11-29,2.78,1,55
5328569,An elegant room near Phoenix Park,14098419,Ana,,Dublin City,53.34753719837913,-6.306870611440017,Private room,55,1,29,2015-12-01,2.94,1,365
6152482,Gardened House in Dublin 4,31913864,Laura,,Dublin City,53.331956139924024,-6.242107545035846,Private room,30,1,8,2015-12-04,0.97,1,230
6133555,Rustic Georgian Home in City Centre,31789527,Robert,,Dublin City,53.331744396696735,-6.240171255527486,Private room,60,7,25,2015-11-17,3.06,2,365
