listing_id,date
444874,2013-04-17
1167131,2013-07-12
1167131,2013-07-26
1167131,2014-07-16
1167131,2014-07-30
1167131,2014-08-02
1167131,2014-08-27
1167131,2014-09-04
1167131,2015-07-18
1167131,2015-07-19
1167131,2015-07-31
1167131,2015-08-03
1167131,2015-09-03
1167131,2015-09-12
4461807,2015-08-17
1199327,2014-08-28
1199327,2015-05-10
1199327,2015-06-28
1199327,2015-08-16
4009276,2015-04-07
4009276,2015-05-26
4009276,2015-07-18
1454640,2013-10-03
1454640,2013-10-13
1454640,2014-09-03
1454640,2014-09-12
1454640,2015-06-07
1454640,2015-07-22
1454640,2015-08-23
6916343,2015-08-21
6916343,2015-09-03
3235417,2015-08-16
6861502,2015-08-29
7968405,2015-10-04
7968405,2015-10-14
7968405,2015-10-18
7968405,2015-10-24
7968405,2015-10-30
7968405,2015-11-29
7968405,2015-12-27
7968405,2016-01-03
5133228,2015-03-18
5133228,2015-04-28
2948388,2015-05-23
2948388,2015-06-08
2948388,2015-06-22
2948388,2015-07-29
2948388,2015-08-07
2948388,2015-08-13
2948388,2015-08-21
2948388,2015-09-04
5602251,2015-07-28
5602251,2015-08-19
948387,2013-05-06
948387,2013-09-11
948387,2014-05-06
948387,2014-08-11
948387,2014-09-13
948387,2014-09-17
948387,2015-06-27
948387,2015-08-02
5796379,2015-07-10
5796379,2015-08-22
421828,2012-06-10
421828,2013-06-18
421828,2013-07-06
421828,2013-08-03
421828,2014-06-17
421828,2014-07-28
421828,2014-08-14
421828,2014-09-09
5830612,2015-04-28
5830612,2015-08-23
5695563,2015-05-23
5695563,2015-06-02
5695563,2015-06-07
5695563,2015-06-10
5695563,2015-12-07
5487765,2015-05-10
5487765,2015-06-29
5487765,2015-07-09
5487765,2015-07-19
5487765,2015-07-27
5487765,2015-09-25
1530343,2013-08-30
1530343,2013-09-07
1530343,2013-09-28
1530343,2014-07-09
1530343,2014-07-23
1530343,2014-08-13
1530343,2015-07-12
1530343,2015-08-14
5388012,2015-09-28
1010112,2014-07-17
1010112,2015-08-02
1028994,2013-09-13
1028994,2014-06-09
1028994,2014-07-18
1028994,2014-08-01
1028994,2015-07-29
1028994,2015-09-29
1028994,2015-10-21
1028994,2015-12-01
