id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6682197,2 bedroom house w/ lock-up garage,34976597,Matt,,Greater Dandenong,-37.97452575446279,145.15645907832263,Entire home/apt,95,2,10,2015-12-07,2.40,1,147
7163795,Shariff's Unit,27137917,Shariff,,Greater Dandenong,-37.96546249108037,145.16710823366827,Shared room,25,25,0,,,1,220
4542586,MELBOURNE Lovely room ,23555375,,,Greater Dandenong,-38.002058728969025,145.16661432318358,Private room,75,1,0,,,1,365
9245788,Cosy bed room for travellers,48048221,Murdoch,,Greater Dandenong,-37.96749025053675,145.16888783114507,Private room,36,1,0,,,1,359
6559957,Melbourne Garden Hostel Room2,34310230,Karen,,Greater Dandenong,-37.94100533206045,145.14569645636075,Shared room,21,1,1,2015-10-03,0.32,4,365
3554332,1 Bed room In a Town House,17896158,,,Greater Dandenong,-37.95487153827552,145.18267165068815,Private room,91,1,0,,,1,365
8748739,Room available in Melbourne,41051832,,,Greater Dandenong,-37.963276766166224,145.1842269584381,Private room,60,1,0,,,1,365
6339558,Tell Mom your OK (Westall Room),4651541,Lilia,,Greater Dandenong,-37.966482612177266,145.13829049860666,Private room,49,1,0,,,2,365
8464413,全新、时尚、清新、干净、安全、安静的居住环境,44557677,Junmei,,Greater Dandenong,-37.99732205654836,145.14834546726797,Private room,70,1,0,,,1,365
9887196,Cosy Room No.1 in Quiet Court,50855053,Bob,,Greater Dandenong,-37.94680381448184,145.19414883792552,Private room,38,1,0,,,4,365
6156890,Charming Melbourne private room,31940564,,,Greater Dandenong,-38.003320428396925,145.1557055792516,Private room,64,1,4,2015-12-13,0.67,1,349
4287875,small and comfy,22260925,Melroy,,Greater Dandenong,-37.98317663259588,145.17193088883062,Private room,49,2,13,2015-11-19,0.90,1,329
10235192,安静整洁新房 cozy quiet clean new house,51375674,Yang,,Greater Dandenong,-38.00156709366652,145.1728052648851,Private room,36,1,0,,,2,319
6384614,"Feel at home, close to facilities",33277326,,,Greater Dandenong,-37.964165992752186,145.18005003824993,Private room,60,1,1,2015-11-22,0.70,1,365
10239025,Cozy Room No.2 in Quiet Court,50855053,Bob,,Greater Dandenong,-37.947000731771794,145.1940032687346,Private room,38,1,0,,,4,365
6337652,"Clean, Cosy & Comfy (Westall Room)",4651541,Lilia,,Greater Dandenong,-37.96625634985826,145.1367165061292,Private room,49,1,0,,,2,364
9665733,Simple Family House,49773227,Niroj,,Greater Dandenong,-37.967618928580606,145.18551829413332,Entire home/apt,91,1,0,,,1,12
10283006,Cosy 3 Rooms in Quiet Court,50855053,Bob,,Greater Dandenong,-37.94716946815007,145.19290070752714,Entire home/apt,119,1,0,,,4,365
6339360,Ideal for  Solo traveller (Effie),4651541,,,Greater Dandenong,-37.96800243528063,145.1374797851634,Private room,45,1,0,,,2,365
10285021,cozy clean quiet new house,51375674,Yang,,Greater Dandenong,-38.00117655246775,145.17222419148396,Private room,36,1,0,,,2,365
6561521,Melbourne Garden Hostel Room1,34310230,Karen,,Greater Dandenong,-37.942195743893556,145.1446049878557,Shared room,38,1,4,2015-11-20,0.63,4,364
9976360,"New, Spacious & Friendly Room for 2",51263216,Azita,,Greater Dandenong,-37.96128785193587,145.1574560688041,Private room,69,1,0,,,1,365
8412000,Insaa Apartment @ Metro Village-3BR,39093981,,,Greater Dandenong,-37.991811593864796,145.20294649366525,Entire home/apt,276,3,0,,,1,347
9537955,Melbourne garden hostel,34310230,Karen,,Greater Dandenong,-37.94200526576322,145.14545098825172,Shared room,21,1,0,,,4,359
10239227,Cosy Room No.3 in Quiet Court,50855053,Bob,,Greater Dandenong,-37.9457565653389,145.19263070970723,Private room,45,1,0,,,4,365
7095182,New Executive Apartment furnished,6460810,,,Greater Dandenong,-37.98580018658054,145.2220528724435,Entire home/apt,155,1,0,,,1,351
10160701,Resort Style Living,44317034,Mobin & Binish,,Wyndham,-37.89906183890756,144.76690400458116,Private room,49,1,0,,,1,361
