id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
5923285,"Snug BR @ York University, Toronto",30753730,Jeishan,,York University Heights,43.768397326811154,-79.50080737491095,Private room,38,2,9,2015-08-23,1.94,5,92
5922059,"Cozy BR @ York University, Toronto",30753730,Jeishan,,York University Heights,43.767631525202354,-79.5023851109016,Private room,38,2,10,2015-07-26,2.21,5,307
5960293,2 Bed Bedroom @ York University,30753730,Jeishan,,York University Heights,43.767445074668316,-79.50242788439382,Private room,45,2,8,2015-07-05,2.16,5,307
6887004,"Cozy Apartment, 1 Bed, 1 Bath",5340640,Shervin,,York University Heights,43.74945436916973,-79.50487934305691,Entire home/apt,48,2,11,2015-08-30,4.71,1,50
6625373,Cozy & Comfortable w/ En-suite Bath,24346665,Seiko,,York University Heights,43.76856226881376,-79.4980029394673,Private room,52,2,5,2015-08-30,2.05,8,319
6831764,Cozy Room @ York University Toronto,24346665,Seiko,,York University Heights,43.76873811567582,-79.49713236964814,Private room,38,2,1,2015-08-25,1,8,154
2225618,Cozy & Comfortable w/ En-suite Bath,1854872,Shanny,,York University Heights,43.76815431650979,-79.49742759130018,Private room,52,2,6,2015-08-15,0.38,12,306
6832028,Cozy Room @ York University Toronto,24346665,Seiko,,York University Heights,43.76906851278992,-79.49913881836751,Private room,38,2,2,2015-08-16,2,8,154
6353861,GREAT ROOMS next to YORK Uni !!!!!,33100782,Victor,,York University Heights,43.768126332391795,-79.49991611683454,Entire home/apt,69,1,1,2015-08-03,0.94,1,68
7390061,Toronto@York university bright room,37193227,Josie,,York University Heights,43.76663590214365,-79.49926449187535,Private room,40,2,1,2015-08-04,1,1,27
4775413,York Penthouse with a View,10635352,Jan,,York University Heights,43.767610690540906,-79.50310490410185,Entire home/apt,350,1,2,2015-05-03,0.24,2,92
3858401,Spacious Room in Spacious Apartment,7134807,Michael,,York University Heights,43.76396038260555,-79.4969541562072,Private room,69,1,11,2015-08-14,0.92,1,365
6922238,Home near York University,12571995,Sam,,York University Heights,43.754282081754525,-79.50053330182531,Entire home/apt,110,3,2,2015-08-04,1.30,1,49
3645675,Cozy Room @ York Uni (103 Cook),1854872,Shanny,,York University Heights,43.76733330816494,-79.49898265823003,Private room,38,2,4,2015-07-07,0.47,12,154
4710792,House,24345657,Arkadi,,York University Heights,43.765970271963596,-79.50258553653921,Private room,80,1,0,,,1,365
7227968,Hotel Style Room W/ Fancy Washroom,37844039,Nishka,,York University Heights,43.768096348820336,-79.50348612876147,Private room,65,1,1,2015-08-10,1,1,334
6628476,Bdrm in shared condo near YorkU (M),33212966,Lisa,,York University Heights,43.76550740305055,-79.49439663478948,Private room,38,1,1,2015-06-28,0.44,2,306
7917803,1 + 1 Condo with large Balcony,37874736,Sara,,York University Heights,43.75016160739069,-79.46447713149045,Entire home/apt,121,14,0,,,1,77
3929127,900sq/ft apartment on ravine lot,14589681,Martha,,York University Heights,43.74786336432915,-79.49366581158499,Entire home/apt,125,1,2,2015-08-03,0.17,1,361
5289620,Fully Loaded Basement Apt. York U,27392210,Achira,,York University Heights,43.765435583722564,-79.50542533885151,Entire home/apt,140,3,1,2015-07-17,0.61,1,365
8030967,"Simple, clean and practical",8860332,Vibhor,,York University Heights,43.769135120027485,-79.50439199500745,Entire home/apt,64,1,0,,,2,88
6849452,Bright room with balcony access,24346665,Seiko,,York University Heights,43.76855973012424,-79.50191909853885,Private room,38,1,0,,,8,276
6831843,Comfy room @ York University,24346665,Seiko,,York University Heights,43.7694290689735,-79.5005217832784,Private room,38,2,0,,,8,308
6830631,Cozy Room @ York University Toronto,24346665,Seiko,,York University Heights,43.768043723875714,-79.50013465266596,Private room,38,2,0,,,8,317
5820340,Spacious stay at York University,1854872,Shanny,,York University Heights,43.76842017434204,-79.49786366262641,Private room,38,2,1,2015-05-04,0.24,12,64
4934960,Beautiful sunny room in  condo,22760672,Berna,,York University Heights,43.75262314902287,-79.46547834129127,Private room,60,2,0,,,1,363
6849285,Comfy Room @ York University,24346665,Seiko,,York University Heights,43.769577127077646,-79.50047690598653,Private room,38,2,0,,,8,338
7110711,Master Bedroom w private washroom,34582246,Bill,,York University Heights,43.76725385378254,-79.4985446811004,Private room,50,1,0,,,1,320
1072490,Comfy Room @ York Uni (202 Cook),1854872,Shanny,,York University Heights,43.7683658522347,-79.49869116243872,Private room,40,2,7,2015-06-27,0.25,12,278
6373500,1 bdrm in shared condo near York U,33212966,Lisa,,York University Heights,43.76173922506413,-79.49524401838852,Entire home/apt,80,1,8,2015-09-02,2.67,2,306
5969004,Nice Apartment near Pan Am Games!,1323297,Sarah,,York University Heights,43.76864044864657,-79.5037391594221,Shared room,45,1,0,,,1,120
7773995,YorkU Village privatewashroom 96S1,39091483,Xishuo,,York University Heights,43.76923280800067,-79.49711845496259,Private room,30,1,0,,,2,0
6181226,"Bright BR@ York University, Toronto",30753730,Jeishan,,York University Heights,43.76726900576346,-79.50090873136062,Private room,38,2,5,2015-08-28,1.23,5,274
5288857,Comfy Room w/ Balcony (302 Cook),1854872,Shanny,,York University Heights,43.7687537491043,-79.49879458974831,Private room,38,2,5,2015-05-30,0.87,12,0
4395769,"Spaceous and sunny room, 2d floor",12846807,Victoria,,York University Heights,43.76332793231024,-79.49648031973287,Private room,76,1,2,2015-05-04,0.47,1,341
7859654,"Sunny Rooms w/pvt. bath, minifridge",40821346,Y,,York University Heights,43.76640295771682,-79.4965311212926,Private room,45,1,0,,,1,111
5030903,Comfy Room w/ Balcony (301 Cook),1854872,Shanny,,York University Heights,43.76671643399742,-79.4972441600319,Private room,38,2,1,2015-08-04,1,12,245
2274139,Cozy Room @ York Uni (201 Cook),1854872,Shanny,,York University Heights,43.76788455448958,-79.49892551359883,Private room,38,3,9,2015-02-09,0.48,12,314
5850965,Cozy Basement room (102),1854872,Shanny,,York University Heights,43.767031601706826,-79.49789307889559,Private room,38,1,1,2015-05-08,0.25,12,356
2274140,Comfy Room @ York Uni (104 Cook),1854872,Shanny,,York University Heights,43.76669301931939,-79.4974462308065,Private room,38,2,5,2015-07-19,0.39,12,154
1651605,Evelyn's Homestay,8759833,Evelyn,,York University Heights,43.75584741943883,-79.49061063705818,Private room,40,1,0,,,1,365
7592924,SMALL ROOM private washroom 98-5,39091483,Xishuo,,York University Heights,43.76807306543509,-79.49534583884498,Private room,30,1,2,2015-08-19,2,2,214
6017439,Spacious BR @ York University,30753730,Jeishan,,York University Heights,43.768550469190004,-79.50275315057223,Private room,38,2,2,2015-06-20,0.74,5,262
7025841,"Independent, clean and tranquil",8860332,Vibhor,,York University Heights,43.76691226821326,-79.5052649547665,Entire home/apt,49,1,9,2015-08-24,5.19,2,76
2083450,Loft Style Living @York,10635352,Jan,,York University Heights,43.769796753020856,-79.505091361883,Entire home/apt,180,1,22,2015-08-13,1.08,2,16
6513545,Gorgeous Penthouse 2 Storey Suite,34016441,Trey,,York University Heights,43.751126817958855,-79.46479087230854,Entire home/apt,150,2,6,2015-08-07,2.00,1,355
7182522,PAN AM LUXURY CONDO,22073429,Steven,,York University Heights,43.75031126867222,-79.46500629643411,Entire home/apt,157,1,1,2015-08-03,0.94,1,360
6831953,Spacious stay at York University,24346665,Seiko,,York University Heights,43.768014591116945,-79.49807458704022,Private room,38,2,0,,,8,63
6327484,Close to Beaches,20439704,Alan,,The Beaches,43.676550562174334,-79.30251177582711,Private room,125,3,0,,,1,365
1566649,Furnished 1-bedroom in the Beaches.,8333217,Susan,,The Beaches,43.669214564326076,-79.30164430766756,Entire home/apt,110,5,2,2013-10-30,0.09,1,159
7822435,Cozy Beaches Basement Apartment,31030263,Diana,,The Beaches,43.675226620032326,-79.3032507606467,Entire home/apt,65,3,1,2015-08-16,1,1,333
6560972,Sweet beaches suite!,6017818,Darcey,,The Beaches,43.67467736004986,-79.29912338499956,Entire home/apt,150,2,0,,,2,333
4170977,"Prime Beach Flat, Steps from Lake",6779869,Em,,The Beaches,43.67133841313968,-79.2917827237665,Entire home/apt,85,2,13,2015-08-23,1.21,1,175
3890618,WholePrivate1bdr basement & ZenYard,9076531,Kate,,The Beaches,43.672416661609425,-79.28224538442268,Entire home/apt,82,5,8,2015-06-23,0.70,2,328
6935480,House by the beach - Pan Am Perfect,35370594,Tim,,The Beaches,43.66971370409988,-79.3072630432338,Entire home/apt,150,7,0,,,1,48
5796317,Beautiful Beaches Studio Apartment,25600773,Naya,,The Beaches,43.66999650809468,-79.29010188347583,Entire home/apt,68,2,7,2015-08-23,2.96,1,313
7347527,Beautiful Beaches character home,35324286,Karen,,The Beaches,43.674995469279395,-79.30152115712951,Entire home/apt,200,3,2,2015-08-25,2,1,305
