listing_id,date
6829386,2015-07-06
2958890,2014-05-20
2958890,2014-06-20
2958890,2014-07-01
2958890,2014-07-31
2958890,2014-08-04
2958890,2014-08-12
2958890,2014-09-02
2958890,2014-09-11
2958890,2014-09-14
2958890,2014-09-22
2958890,2014-10-22
2958890,2014-11-17
2958890,2014-12-08
2958890,2014-12-26
2958890,2015-01-05
2958890,2015-02-25
2958890,2015-03-09
2958890,2015-05-11
2958890,2015-05-25
2958890,2015-06-25
2958890,2015-06-29
2958890,2015-07-05
2958890,2015-07-15
2958890,2015-07-22
2958890,2015-07-25
2958890,2015-07-27
2958890,2015-08-11
7430229,2015-07-27
7430229,2015-07-30
7430229,2015-08-02
4143209,2014-10-01
4143209,2014-11-02
4143209,2014-12-11
4143209,2015-02-15
4143209,2015-03-30
4143209,2015-05-01
4143209,2015-05-31
4143209,2015-07-12
4143209,2015-07-14
4143209,2015-07-19
4143209,2015-08-02
4143209,2015-08-05
4143209,2015-08-27
4143209,2015-08-28
4143209,2015-08-30
7557710,2015-08-27
2367893,2014-03-11
2367893,2014-06-01
2367893,2014-06-10
2367893,2014-06-14
2367893,2014-08-01
2367893,2014-09-25
2367893,2014-09-29
944147,2013-08-06
944147,2013-08-14
944147,2013-08-31
944147,2013-09-07
944147,2013-09-13
944147,2013-09-15
944147,2013-09-20
944147,2013-09-21
944147,2013-09-22
944147,2013-09-25
944147,2013-09-28
944147,2013-09-30
944147,2013-10-04
944147,2013-10-05
944147,2013-10-24
944147,2013-10-26
944147,2013-10-28
944147,2013-11-02
944147,2013-11-04
944147,2013-11-20
944147,2013-11-23
944147,2013-12-09
944147,2013-12-20
944147,2013-12-23
944147,2013-12-29
944147,2013-12-30
944147,2013-12-31
944147,2014-01-17
944147,2014-01-22
944147,2014-02-10
944147,2014-02-12
944147,2014-02-18
944147,2014-02-23
944147,2014-03-02
944147,2014-03-03
944147,2014-03-06
944147,2014-03-10
944147,2014-03-13
944147,2014-03-29
944147,2014-03-31
944147,2014-04-04
944147,2014-04-09
944147,2014-04-11
944147,2014-04-17
944147,2014-04-25
944147,2014-05-01
944147,2014-05-02
944147,2014-05-03
944147,2014-05-05
944147,2014-05-09
944147,2014-05-10
944147,2014-05-17
944147,2014-05-19
944147,2014-05-26
