,num_votes,rating,tconst,title,year,genre,runtime
0,1660365,9.3,tt0111161,The Shawshank Redemption,1994,"Crime, Drama",142 min
1,1136449,9.2,tt0068646,The Godfather,1972,"Crime, Drama",175 min
2,776176,9.0,tt0071562,The Godfather: Part II,1974,"Crime, Drama",202 min
3,1646039,9.0,tt0468569,The Dark Knight,2008,"Action, Crime, Thriller",152 min
4,849441,8.9,tt0108052,Schindler's List,1993,"Biography, Drama, History",195 min
5,437963,8.9,tt0050083,12 Angry Men,1957,"Crime, Drama",96 min
6,1301277,8.9,tt0110912,Pulp Fiction,1994,"Crime, Drama",154 min
7,1194859,8.9,tt0167260,The Lord of the Rings: The Return of the King,2003,"Adventure, Drama, Fantasy",201 min
8,494950,8.9,tt0060196,"The Good, the Bad and the Ugly",1966,Western,161 min
9,1321965,8.9,tt0137523,Fight Club,1999,Drama,139 min
10,1218278,8.8,tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,"Adventure, Drama, Fantasy",178 min
11,821499,8.8,tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980,"Action, Adventure, Fantasy",124 min
12,1225177,8.8,tt0109830,Forrest Gump,1994,"Drama, Romance",142 min
13,1439594,8.8,tt1375666,Inception,2010,"Action, Mystery, Sci-Fi",148 min
14,1080981,8.7,tt0167261,The Lord of the Rings: The Two Towers,2002,"Action, Adventure, Drama",179 min
15,668733,8.7,tt0073486,One Flew Over the Cuckoo's Nest,1975,Drama,133 min
16,715748,8.7,tt0099685,Goodfellas,1990,"Biography, Crime, Drama",146 min
17,1196463,8.7,tt0133093,The Matrix,1999,"Action, Sci-Fi",136 min
18,225412,8.7,tt0047478,Seven Samurai,1954,"Action, Adventure, Drama",207 min
19,895102,8.7,tt0076759,Star Wars,1977,"Action, Adventure, Fantasy",121 min
20,524731,8.7,tt0317248,City of God,2002,"Crime, Drama",130 min
21,1004306,8.6,tt0114369,Se7en,1995,"Crime, Drama, Mystery",127 min
22,869563,8.6,tt0102926,The Silence of the Lambs,1991,"Crime, Drama, Thriller",118 min
23,271110,8.6,tt0038650,It's a Wonderful Life,1946,"Drama, Family, Fantasy",130 min
24,728040,8.6,tt0114814,The Usual Suspects,1995,"Crime, Drama, Mystery",106 min
25,410973,8.6,tt0118799,Life Is Beautiful,1997,"Comedy, Drama, Romance",116 min
26,712037,8.6,tt0110413,Léon: The Professional,1994,"Crime, Drama, Thriller",110 min
27,212282,8.6,tt0064116,Once Upon a Time in the West,1968,Western,175 min
28,408150,8.6,tt0245429,Spirited Away,2001,"Animation, Adventure, Family",125 min
29,864724,8.6,tt0120815,Saving Private Ryan,1998,"Action, Drama, War",169 min
30,769859,8.6,tt0120586,American History X,1998,"Crime, Drama",119 min
31,899183,8.6,tt0816692,Interstellar,2014,"Adventure, Drama, Sci-Fi",169 min
32,381709,8.6,tt0034583,Casablanca,1942,"Drama, Romance, War",102 min
33,414388,8.5,tt0054215,Psycho,1960,"Horror, Mystery, Thriller",109 min
34,105779,8.6,tt0021749,City Lights,1931,"Comedy, Drama, Romance",87 min
35,650068,8.5,tt0082971,Raiders of the Lost Ark,1981,"Action, Adventure",115 min
36,490730,8.6,tt1675434,The Intouchables,2011,"Biography, Comedy, Drama",112 min
37,310545,8.5,tt0047396,Rear Window,1954,"Mystery, Thriller",112 min
38,139756,8.6,tt0027977,Modern Times,1936,"Comedy, Drama",87 min
39,766437,8.5,tt0120689,The Green Mile,1999,"Crime, Drama, Fantasy",189 min
40,732423,8.5,tt0103064,Terminator 2: Judgment Day,1991,"Action, Sci-Fi",137 min
41,488241,8.5,tt0253474,The Pianist,2002,"Biography, Drama, War",150 min
42,857581,8.5,tt0407887,The Departed,2006,"Crime, Drama, Thriller",151 min
